a, b
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 118
0, 125
0, 110
0, 44
0, 14
0, 4
0, 3
0, 0
0, 3
0, 7
0, 3
0, 9
0, 7
0, 0
0, 1
0, 5
0, 0
0, 0
0, 6
0, 1
0, 0
0, 11
0, 2
0, 0
0, 2
0, 1
0, 0
0, 3
0, 2
0, 16
0, 0
0, 0
0, 0
0, 0
0, 0
0, 6
0, 0
0, 0
0, 3
0, 2
0, 0
0, 2
0, 0
0, 1
0, 0
0, 1
0, 5
0, 3
0, 3
0, 15
0, 2
0, 0
0, 0
0, 0
0, 1
0, 2
0, 0
0, 10
0, 4
0, 0
0, 2
0, 1
0, 2
0, 0
0, 2
0, 0
0, 0
0, 0
0, 0
0, 0
0, 15
0, 0
0, 10
0, 0
0, 1
0, 0
0, 0
0, 0
0, 0
0, 3
0, 0
0, 2
0, 0
0, 0
0, 1
0, 2
0, 4
0, 0
0, 1
0, 0
0, 2
0, 0
0, 0
1, 0
1, 0
1, 0
1, 38
1, 32
1, 20
1, 26
1, 27
1, 10
1, 12
1, 33
1, 15
1, 4
1, 3
1, 0
1, 2
1, 7
1, 2
1, 1
1, 4
1, 1
1, 3
1, 3
1, 0
1, 0
1, 0
1, 9
1, 5
1, 1
1, 2
1, 7
1, 0
1, 2
1, 2
1, 6
1, 2
1, 6
1, 0
1, 0
1, 0
1, 0
1, 1
1, 5
1, 0
1, 1
1, 0
1, 3
1, 0
1, 2
1, 0
1, 2
1, 0
1, 1
1, 4
1, 3
1, 3
1, 27
1, 1
1, 0
1, 9
1, 0
1, 1
1, 0
1, 0
1, 3
1, 3
1, 0
1, 3
1, 1
1, 2
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 1
1, 0
1, 5
1, 5
1, 1
1, 3
1, 0
1, 0
1, 0
1, 3
1, 0
1, 2
1, 0
1, 0
1, 0
1, 5
1, 1
1, 0
1, 1
1, 0
1, 0
1, 0
1, 0
2, 0
2, 0
2, 0
2, 0
2, 41
2, 30
2, 23
2, 20
2, 8
2, 33
2, 84
2, 8
2, 8
2, 2
2, 8
2, 2
2, 0
2, 2
2, 4
2, 2
2, 1
2, 6
2, 2
2, 0
2, 12
2, 0
2, 48
2, 13
2, 3
2, 8
2, 0
2, 0
2, 4
2, 0
2, 1
2, 0
2, 12
2, 0
2, 0
2, 0
2, 0
2, 1
2, 6
2, 0
2, 15
2, 1
2, 4
2, 0
2, 5
2, 0
2, 2
2, 0
2, 6
2, 0
2, 0
2, 3
2, 1
2, 1
2, 0
2, 0
2, 0
2, 0
2, 0
2, 0
2, 4
2, 4
2, 0
2, 3
2, 1
2, 2
