a, b
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 59
0, 62
0, 54
0, 40
0, 9
0, 2
0, 2
0, 0
0, 2
0, 1
0, 2
0, 1
0, 6
0, 0
0, 0
0, 3
0, 0
0, 0
0, 1
0, 0
0, 0
0, 9
0, 1
0, 0
0, 1
0, 1
0, 0
0, 0
0, 0
0, 11
0, 0
0, 0
0, 0
0, 0
0, 0
0, 4
0, 0
0, 0
0, 2
0, 1
0, 0
0, 1
0, 0
0, 0
0, 0
0, 1
0, 5
0, 3
0, 0
0, 13
0, 2
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 9
0, 3
0, 0
0, 2
0, 0
0, 1
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 4
0, 0
0, 3
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 1
0, 0
0, 1
0, 0
0, 0
0, 0
0, 1
0, 4
0, 0
0, 0
0, 0
0, 2
0, 0
0, 0
1, 0
1, 0
1, 0
1, 13
1, 22
1, 10
1, 18
1, 15
1, 6
1, 10
1, 28
1, 10
1, 2
1, 2
1, 0
1, 1
1, 1
1, 1
1, 0
1, 3
1, 0
1, 2
1, 2
1, 0
1, 0
1, 0
1, 8
1, 0
1, 0
1, 1
1, 0
1, 0
1, 0
1, 0
1, 2
1, 0
1, 3
1, 0
1, 0
1, 0
1, 0
1, 0
1, 2
1, 0
1, 0
1, 0
1, 2
1, 0
1, 1
1, 0
1, 1
1, 0
1, 1
1, 1
1, 3
1, 0
1, 16
1, 1
1, 0
1, 8
1, 0
1, 0
1, 0
1, 0
1, 2
1, 2
1, 0
1, 3
1, 0
1, 1
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 1
1, 0
1, 2
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 1
1, 0
1, 1
1, 0
1, 0
1, 0
1, 3
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
2, 0
2, 0
2, 0
2, 30
2, 13
2, 6
2, 11
2, 5
2, 8
2, 50
2, 4
2, 4
2, 1
2, 4
2, 1
2, 0
2, 1
2, 0
2, 1
2, 0
2, 1
2, 1
2, 0
2, 2
2, 0
2, 25
2, 2
2, 1
2, 4
2, 0
2, 0
2, 1
2, 0
2, 0
2, 0
2, 7
2, 0
2, 0
2, 0
2, 0
2, 0
2, 1
2, 0
2, 7
2, 0
2, 3
2, 0
2, 2
2, 0
2, 1
2, 0
2, 5
2, 0
2, 0
2, 0
2, 0
2, 1
2, 0
2, 0
2, 0
2, 0
2, 0
2, 0
2, 3
2, 3
2, 0
2, 3
2, 0
2, 1
