a, b
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 19942
0, 3965
0, 1060
0, 294
0, 209
0, 739
0, 61
0, 0
0, 91
0, 78
0, 59
0, 380
0, 55
0, 0
0, 1
0, 95
0, 0
0, 0
0, 54
0, 37
0, 44
0, 11
0, 42
0, 38
0, 118
0, 1
0, 62
0, 72
0, 2
0, 124
0, 0
0, 0
0, 0
0, 0
0, 0
0, 6
0, 0
0, 0
0, 39
0, 137
0, 0
0, 2
0, 0
0, 1
0, 0
0, 1
0, 5
0, 3
0, 3
0, 15
0, 2
0, 0
0, 0
0, 0
0, 1
0, 2
0, 0
0, 25
0, 64
0, 0
0, 60
0, 1
0, 84
0, 0
0, 2
0, 0
0, 132
0, 0
0, 0
0, 20
0, 15
0, 0
0, 105
0, 0
0, 4
0, 0
0, 0
0, 0
0, 0
0, 48
0, 0
0, 21
0, 0
0, 0
0, 1
0, 6
0, 4
0, 0
0, 1
0, 0
0, 2
0, 0
0, 0
1, 0
1, 0
1, 0
1, 7843
1, 2288
1, 3060
1, 4174
1, 4059
1, 1210
1, 202
1, 233
1, 249
1, 200
1, 61
1, 0
1, 90
1, 7
1, 58
1, 1
1, 52
1, 62
1, 3
1, 93
1, 0
1, 0
1, 0
1, 9
1, 5
1, 101
1, 42
1, 7
1, 0
1, 2
1, 2
1, 6
1, 2
1, 114
1, 0
1, 0
1, 0
1, 0
1, 1
1, 5
1, 0
1, 1
1, 0
1, 93
1, 0
1, 2
1, 0
1, 2
1, 0
1, 1
1, 4
1, 3
1, 3
1, 79
1, 1
1, 0
1, 9
1, 0
1, 1
1, 0
1, 0
1, 18
1, 63
1, 0
1, 61
1, 1
1, 84
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 20
1, 1
1, 0
1, 62
1, 46
1, 4
1, 3
1, 0
1, 0
1, 0
1, 48
1, 0
1, 21
1, 0
1, 0
1, 0
1, 9
1, 1
1, 0
1, 1
1, 0
1, 0
1, 0
1, 0
2, 0
2, 0
2, 0
2, 0
2, 3331
2, 4894
2, 2585
2, 3044
2, 968
2, 603
2, 284
2, 281
2, 204
2, 60
2, 224
2, 90
2, 0
2, 114
2, 216
2, 50
2, 62
2, 6
2, 92
2, 0
2, 150
2, 0
2, 48
2, 101
2, 103
2, 48
2, 0
2, 0
2, 4
2, 0
2, 1
2, 0
2, 120
2, 0
2, 0
2, 0
2, 0
2, 1
2, 90
2, 0
2, 147
2, 1
2, 94
2, 0
2, 95
2, 0
2, 2
2, 79
2, 47
2, 0
2, 41
2, 47
2, 1
2, 1
2, 0
2, 0
2, 0
2, 0
2, 0
2, 0
2, 19
2, 64
2, 0
2, 90
