a, b
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 10030
0, 2525
0, 585
0, 244
0, 131
0, 543
0, 32
0, 0
0, 47
0, 78
0, 31
0, 274
0, 31
0, 0
0, 1
0, 50
0, 0
0, 0
0, 30
0, 1
0, 0
0, 11
0, 22
0, 0
0, 60
0, 1
0, 31
0, 3
0, 2
0, 70
0, 0
0, 0
0, 0
0, 0
0, 0
0, 6
0, 0
0, 0
0, 21
0, 92
0, 0
0, 2
0, 0
0, 1
0, 0
0, 1
0, 5
0, 3
0, 3
0, 15
0, 2
0, 0
0, 0
0, 0
0, 1
0, 2
0, 0
0, 25
0, 34
0, 0
0, 60
0, 1
0, 43
0, 0
0, 2
0, 0
0, 66
0, 0
0, 0
0, 20
0, 15
0, 0
0, 29
0, 0
0, 1
0, 0
0, 0
0, 0
0, 0
0, 18
0, 0
0, 2
0, 0
0, 0
0, 1
0, 6
0, 4
0, 0
0, 1
0, 0
0, 2
0, 0
0, 0
1, 0
1, 0
1, 0
1, 2714
1, 1536
1, 1540
1, 2100
1, 2211
1, 610
1, 107
1, 133
1, 132
1, 102
1, 32
1, 0
1, 46
1, 7
1, 30
1, 1
1, 28
1, 1
1, 3
1, 48
1, 0
1, 0
1, 0
1, 9
1, 5
1, 51
1, 22
1, 7
1, 0
1, 2
1, 2
1, 6
1, 2
1, 60
1, 0
1, 0
1, 0
1, 0
1, 1
1, 5
1, 0
1, 1
1, 0
1, 48
1, 0
1, 2
1, 0
1, 2
1, 0
1, 1
1, 4
1, 3
1, 3
1, 79
1, 1
1, 0
1, 9
1, 0
1, 1
1, 0
1, 0
1, 18
1, 33
1, 0
1, 61
1, 1
1, 43
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 20
1, 1
1, 0
1, 5
1, 5
1, 1
1, 3
1, 0
1, 0
1, 0
1, 18
1, 0
1, 2
1, 0
1, 0
1, 0
1, 9
1, 1
1, 0
1, 1
1, 0
1, 0
1, 0
1, 0
2, 0
2, 0
2, 0
2, 0
2, 2485
2, 2462
2, 633
2, 1700
2, 608
2, 318
2, 184
2, 125
2, 106
2, 31
2, 116
2, 46
2, 0
2, 58
2, 163
2, 26
2, 1
2, 6
2, 47
2, 0
2, 12
2, 0
2, 48
2, 57
2, 53
2, 28
2, 0
2, 0
2, 4
2, 0
2, 1
2, 0
2, 66
2, 0
2, 0
2, 0
2, 0
2, 1
2, 34
2, 0
2, 125
2, 1
2, 49
2, 0
2, 50
2, 0
2, 2
2, 0
2, 47
2, 0
2, 0
2, 3
2, 1
2, 1
2, 0
2, 0
2, 0
2, 0
2, 0
2, 0
2, 19
2, 34
2, 0
2, 90
