a, b
0, 78
1, 411
2, 540
3, 1208
4, 1699
5, 1671
6, 1906
7, 2317
8, 1392
9, 2307
10, 2985
11, 1481
12, 874
13, 512
14, 587
15, 575
16, 609
17, 482
18, 595
19, 344
20, 98
21, 641
22, 687
23, 0
24, 211
25, 145
26, 1324
27, 490
28, 486
29, 532
30, 229
31, 48
32, 142
33, 1164
34, 521
35, 128
36, 1740
37, 23
38, 47
39, 18
40, 9
41, 729
42, 635
43, 0
44, 326
45, 232
46, 892
47, 0
48, 735
49, 83
50, 380
51, 72
52, 903
53, 371
54, 367
55, 264
56, 1139
57, 358
58, 23
59, 95
60, 0
61, 125
62, 47
63, 0
64, 1200
65, 661
66, 37
67, 462
68, 126
69, 272
70, 0
71, 219
72, 240
73, 266
74, 0
75, 0
76, 121
77, 617
78, 116
79, 576
80, 32
81, 94
82, 453
83, 199
84, 0
85, 8
86, 477
87, 0
88, 726
89, 0
90, 0
91, 868
92, 441
93, 462
94, 25
95, 153
96, 0
97, 194
98, 7
99, 6
