a, b
0, 8
1, 92
2, 68
3, 64
4, 168
5, 020
6, 36
7, 482
8, 48
9, 106
10, 2120
11, 1122
12, 372
13, 252
14, 106
15, 250
16, 96
17, 210
18, 138
19, 256
20, 10
21, 270
22, 298
23, 0
24, 66
25, 30
26, 720
27, 48
28, 392
29, 196
30, 0
31, 22
32, 58
33, 266
34, 198
35, 0
36, 1052
37, 2
38, 0
39, 8
40, 2
41, 96
42, 292
43, 0
44, 190
45, 74
46, 438
47, 0
48, 368
49, 0
50, 76
51, 24
52, 540
53, 216
54, 302
55, 0
56, 486
57, 250
58, 4
59, 72
60, 0
61, 20
62, 0
63, 0
64, 1042
65, 436
66, 0
67, 462
68, 0
69, 178
70, 0
71, 22
72, 44
73, 40
74, 0
75, 0
76, 28
77, 298
78, 0
79, 166
80, 0
81, 0
82, 96
83, 118
84, 0
85, 0
86, 248
87, 0
88, 274
89, 0
90, 0
91, 430
92, 254
93, 230
94, 0
95, 66
96, 0
97, 128
98, 0
99, 0
