a, b
0, 7222
1, 38435
2, 75708
3, 236027
4, 119481
5, 246239
6, 207110
7, 344869
8, 136512
9, 70042
10, 36435
11, 30653
12, 42426
13, 11851
14, 17867
15, 21475
16, 14880
17, 13642
18, 24074
19, 7064
20, 8882
21, 2213
22, 19992
23, 0
24, 2695
25, 1249
26, 4852
27, 5550
28, 4886
29, 5972
30, 609
31, 1295
32, 241
33, 4760
34, 9629
35, 485
36, 31872
37, 3623
38, 698
39, 74
40, 36
41, 7619
42, 4919
43, 0
44, 1712
45, 1114
46, 16057
47, 0
48, 6495
49, 332
50, 3418
51, 7972
52, 7545
53, 851
54, 3155
55, 4136
56, 11695
57, 7568
58, 86
59, 1271
60, 0
61, 1565
62, 677
63, 36
64, 7590
65, 10021
66, 114
67, 12294
68, 588
69, 12121
70, 0
71, 241
72, 461
73, 19604
74, 51
75, 855
76, 2041
77, 1387
78, 546
79, 6485
80, 2615
81, 376
82, 1270
83, 1249
84, 42
85, 8
86, 6492
87, 440
88, 3272
89, 0
90, 1748
91, 1102
92, 949
93, 3369
94, 403
95, 159
96, 0
97, 498
98, 178
99, 617
