a, b
0, 7222
1, 17659
2, 37980
3, 93530
4, 81035
5, 156407
6, 84622
7, 215341
8, 63792
9, 23967
10, 16585
11, 21449
12, 18416
13, 4920
14, 3107
15, 8319
16, 1319
17, 5746
18, 10453
19, 4136
20, 2538
21, 857
22, 9147
23, 0
24, 211
25, 529
26, 2044
27, 3130
28, 2386
29, 3732
30, 229
31, 570
32, 196
33, 2218
34, 4247
35, 128
36, 20532
37, 2093
38, 171
39, 58
40, 27
41, 2029
42, 1419
43, 0
44, 1294
45, 556
46, 10702
47, 0
48, 3615
49, 83
50, 1458
51, 4180
52, 3035
53, 491
54, 1597
55, 264
56, 5299
57, 3998
58, 65
59, 95
60, 0
61, 305
62, 257
63, 0
64, 5850
65, 6601
66, 37
67, 11482
68, 126
69, 7570
70, 0
71, 219
72, 318
73, 7790
74, 0
75, 0
76, 1361
77, 1167
78, 116
79, 804
80, 32
81, 94
82, 605
83, 199
84, 0
85, 8
86, 3297
87, 308
88, 954
89, 0
90, 736
91, 868
92, 889
93, 918
94, 67
95, 153
96, 0
97, 258
98, 45
99, 6
