a, b
0.10101020202030304, 6
0.10204091732621409, 2
1.2499384405318039, 1
1.2499423464092719, 1
1.2499507831879121, 1
1.249952189328758, 1
1.2499525018049313, 1
1.249953595472768, 1
1.2499556265752565, 1
1.2499559390531484, 1
1.2499560952921528, 1
1.2499564077702791, 1
1.2499568764877612, 1
1.2499570327270001, 1
1.2499573452055948, 2
1.249957501444951, 1
1.24995781392378, 1
1.2499589076009125, 2
1.2499592200804448, 1
1.2499595325601333, 1
1.2499601575199791, 2
1.2499603137600382, 1
1.2499609387206649, 1
1.2499610949609194, 1
1.2499614074415452, 1
1.2499615636819167, 1
1.2499617199223274, 2
1.2499620324032658, 2
1.2499621886437935, 2
1.2499623448843603, 1
1.2499625011249661, 1
1.2499626573656111, 2
1.2499628136062952, 1
1.2499629698470183, 1
1.2499631260877805, 2
1.2499632823285816, 2
1.2499634385694219, 2
1.2499635948103011, 1
1.2499640635331735, 1
1.2499643760152835, 2
1.2499646884975499, 1
1.2499648447387417, 2
1.2499650009799727, 1
1.2499651572212423, 1
1.2499654697038994, 1
1.2499656259452866, 1
1.2499657821867127, 2
1.2499659384281779, 1
1.2499660946696821, 2
1.2499662509112254, 2
1.2499664071528077, 4
1.2499665633944291, 2
1.2499668758777892, 1
1.2499671883613055, 1
1.2499675008449779, 2
1.2499676570868728, 2
1.2499678133288068, 2
1.2499682820548429, 1
1.2499685945390622, 1
1.2499689070234377, 1
1.2499692195079697, 1
1.2499700007199827, 2
1.2499704694476594, 1
1.2499707819329724, 1
1.2499709381756873, 1
1.2499712506612349, 1
1.2499715631469384, 1
1.2499717193898489, 1
1.2499721881188144, 1
1.2499729693345382, 1
1.2499732818211011, 1
