a, b
0.010101020202030304, 2
0.010204091732621409, 1
1.666572783066554, 1
1.6665741718001317, 1
1.6665763937786703, 1
1.6665816710014455, 1
1.66658361524984, 1
1.6665850040014707, 1
1.6665872260088936, 1
1.6665875037602382, 3
1.6665900035265045, 1
1.6665902812787747, 3
1.666590836783593, 3
1.6665916700415147, 3
1.6665919477943405, 1
1.666592225547259, 2
1.6665930588065693, 4
1.6665938920667132, 1
1.6665944475739384, 1
1.6665952808354709, 1
1.6665955585895002, 2
1.6665961140978366, 1
1.6665963918521437, 1
1.6665969473610354, 1
1.6665972251156201, 2
1.6665977806250674, 2
1.6665980583799301, 1
1.6665983361348851, 2
1.6665986138899327, 1
1.666598891645073, 1
1.6665994471556313, 1
1.6666000026665599, 1
1.666600558177859, 2
1.6666008359336473, 2
1.6666011136895283, 1
1.6666016692015678, 2
1.6666019469577264, 2
1.6666022247139776, 1
1.6666025024703215, 2
1.666602780226758, 2
1.6666030579832869, 2
1.6666033357399085, 1
1.6666036134966227, 1
1.6666038912534295, 5
1.6666044467673206, 2
1.6666047245244051, 3
1.6666050022815822, 2
1.6666055577962142, 1
1.666605835553669, 2
1.6666063910688563, 1
1.6666069465844139, 2
1.6666086131333092, 1
1.6666091686503483, 2
1.6666119462410984, 1
1.6666122240006827, 1
1.6666127795201287, 1
1.6666136127999926, 1
1.6666141683203645, 1
1.666616112644583, 1
1.6666172236890306, 1
1.9998424124179013, 1
1.999892805745612, 1
1.9998952054912321, 1
1.9999036046462562, 1
1.9999132037669565, 1
