a, b
0.010101020202030304, 6
0.010204091628497922, 2
1.2496736789605815, 1
1.2496771146754958, 1
1.2497192818063242, 1
1.2497203750660791, 1
1.2497456767547803, 1
1.2497680118128073, 1
1.249776290044082, 1
1.2497811320792447, 1
1.2497903476691786, 1
1.249790972459856, 1
1.2497925344392831, 1
1.2498047180128106, 1
1.2498136215436873, 1
1.249814246357635, 1
1.2498162770072799, 1
1.2498197135063268, 1
1.2498236186418191, 1
1.2498242434657627, 1
1.2498254931155238, 1
1.2498272113880257, 1
1.2498306479472032, 1
1.2498322100258042, 1
1.2498323662338788, 1
1.2498343969424052, 1
1.2498368962850349, 1
1.2498392394278286, 1
1.2498397080574417, 1
1.2498422074213131, 1
1.2498423636318868, 1
1.2498439257397731, 1
1.2498445505840211, 1
1.2498451754288938, 1
1.2498467375438087, 1
1.2498487682990359, 1
1.2498501742103666, 1
1.2498520487637277, 1
1.2498537671092483, 1
1.2498540795362143, 1
1.249855173031825, 1
1.2498557978873187, 1
1.2498565789575646, 1
1.2498572038144641, 1
1.2498584535301376, 1
1.2498587659594465, 2
1.2498595470334021, 1
1.2498604843234374, 1
1.2498612653995406, 2
1.2498617340456713, 1
1.2498622026921532, 1
1.2498631399861715, 1
1.249863296201978, 1
1.2498647021459928, 1
1.2498648583621895, 1
1.2498650145784256, 1
1.2498651707947006, 1
1.2498654832273677, 1
1.2498656394437597, 1
1.2498659518766612, 1
1.2498664205263063, 1
1.2498690762142666, 1
1.2498693886488861, 1
1.249869701083662, 1
1.2498701697361187, 2
1.2498703259536823, 1
1.249870482171285, 1
1.2498732940948112, 1
1.249873918968424, 2
1.2498740751869248, 1
1.2498743876240438, 2
1.249874856280015, 1
1.2498767309074143, 1
1.2498776682232228, 1
1.2498793866391892, 1
1.249879542859057, 1
1.2498796990789637, 1
1.2498815737208899, 1
1.2498821986027817, 1
1.2498828234852984, 1
1.2498840732522058, 1
1.2498845419154405, 1
1.2498851668003003, 1
1.249886729015183, 1
1.2498868852368862, 1
1.2498875101240888, 1
1.2498907907921545, 1
1.2498914156832625, 1
1.2498937590304823, 1
